"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1979";"Nederland";"   37283";"     101";"    1112";"      50";"    1935";"     568";"     171";"      70";"     341";"     121";"     128";"     218";"     329";"     137";"   24115";"    2940";"    1603";"    1595";"    1749"
"1980";"Nederland";"   37283";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1981";"Nederland";"   37305";"     101";"    1138";"      50";"    1997";"     594";"     174";"      72";"     326";"     119";"     139";"     231";"     340";"     139";"   23994";"    2955";"    1560";"    1610";"    1766"
"1982";"Nederland";"   37305";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1983";"Nederland";"   37291";"     101";"    1158";"      44";"    2052";"     606";"     178";"      70";"     285";"     123";"     145";"     240";"     352";"     140";"   23903";"    2969";"    1557";"    1635";"    1733"
"1984";"Nederland";"   37291";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1985";"Nederland";"   37334";"     103";"    1181";"      43";"    2085";"     618";"     183";"      65";"     254";"     133";"     154";"     249";"     379";"     138";"   23836";"    3003";"    1497";"    1677";"    1737"
"1986";"Nederland";"   37334";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1987";"Nederland";"   37334";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1988";"Nederland";"   37334";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1989";"Nederland";"   39858";"     106";"    1229";"      40";"    2131";"     670";"     171";"      63";"     224";"     142";"     161";"     262";"     362";"     135";"   23699";"    3041";"    1437";"    1818";"    4168"
"1990";"Nederland";"   40935";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1991";"Nederland";"   41049";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1992";"Nederland";"   41028";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1993";"Nederland";"   41028";"     101";"    1197";"      33";"    2168";"     698";"     161";"      66";"     237";"     137";"     154";"     294";"     361";"     142";"   23614";"    3108";"    1409";"    2973";"    4175"
"1994";"Nederland";"   41028";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1995";"Nederland";"   41044";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1996";"Nederland";"   41526";"      91";"    1008";"      26";"    2138";"     759";"     152";"      31";"     217";"     130";"     227";"     311";"     325";"     139";"   23465";"    3441";"    1343";"    3553";"    4173"
"1997";"Nederland";"   41526";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1998";"Nederland";"   41526";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1999";"Nederland";"   41526";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
