"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1950";"Drenthe (PV)";"    2665";"       6";"      48";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"    1965";"     193";"     351";"      40";""
"1951";"Drenthe (PV)";"    2664";"       6";"      48";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"    1974";"     199";"     333";"      40";""
"1952";"Drenthe (PV)";"    2665";"       5";"      55";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"    1983";"     201";"     311";"      40";""
"1953";"Drenthe (PV)";"    2683";"       5";"      55";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2026";"     206";"     279";"      40";""
"1954";"Drenthe (PV)";"    2683";"       5";"      56";"       2";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2032";"     207";"     270";"      40";""
"1955";"Drenthe (PV)";"    2683";"       5";"      56";"       2";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2029";"     211";"     265";"      42";""
"1956";"Drenthe (PV)";"    2683";"       5";"      59";"       2";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2023";"     221";"     254";"      40";""
"1957";"Drenthe (PV)";"    2683";"       5";"      59";"       2";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2028";"     221";"     247";"      40";""
"1958";"Drenthe (PV)";"    2683";"       5";"      60";"       2";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2031";"     221";"     242";"      40";""
"1959";"Drenthe (PV)";"    2683";"       5";"      60";"       2";"       .";"       .";"       .";"       .";"       0";"       .";"       2";"       .";"       .";"       .";"    2033";"     222";"     238";"      40";""
"1960";"Drenthe (PV)";"    2683";"       5";"      54";"       2";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    2041";"     227";"     220";"      39";""
"1961";"Drenthe (PV)";"    2683";"       5";"      55";"       2";"       .";"       .";"       .";"       .";"       1";"       .";"       3";"       .";"       .";"       .";"    2037";"     226";"     217";"      39";""
"1962";"Drenthe (PV)";"    2685";"       5";"      58";"       2";"       .";"       .";"       .";"       .";"       3";"       .";"       3";"       .";"       .";"       .";"    2036";"     229";"     210";"      39";""
"1963";"Drenthe (PV)";"    2685";"       5";"      59";"       2";"       .";"       .";"       .";"       .";"       5";"       .";"       3";"       .";"       .";"       .";"    2032";"     229";"     208";"      39";""
"1964";"Drenthe (PV)";"    2685";"       5";"      57";"       2";"       .";"       .";"       .";"       .";"       7";"       .";"       3";"       .";"       .";"       .";"    2030";"     229";"     208";"      40";""
"1965";"Drenthe (PV)";"    2685";"       5";"      32";"       2";"       .";"       .";"       .";"       .";"       7";"       .";"       4";"       .";"       .";"       .";"    2047";"     229";"     212";"      39";""
"1966";"Drenthe (PV)";"    2685";"       4";"      33";"       2";"       .";"       .";"       .";"       .";"       5";"       .";"       4";"       .";"       .";"       .";"    2048";"     235";"     200";"      35";""
"1967";"Drenthe (PV)";"    2685";"       3";"      28";"       2";"       .";"       5";"       .";"       .";"       5";"       .";"       4";"       .";"       .";"       .";"    2061";"     267";"     176";"      37";""
"1968";"Drenthe (PV)";"    2685";"       3";"      30";"       2";"       .";"       5";"       .";"       .";"       7";"       .";"       4";"       .";"       .";"       .";"    2057";"     267";"     176";"      37";""
"1969";"Drenthe (PV)";"    2685";"       3";"      31";"       2";"       .";"       5";"       .";"       .";"       6";"       .";"       5";"       .";"       .";"       .";"    2055";"     267";"     174";"      37";""
"1970";"Drenthe (PV)";"    2685";"       3";"      33";"       2";"       .";"       6";"       .";"       .";"       9";"       .";"       5";"       .";"       .";"       .";"    2050";"     267";"     173";"      37";""
"1971";"Drenthe (PV)";"    2685";"       3";"      36";"       2";"       .";"       5";"       .";"       .";"       9";"       .";"       4";"       .";"       .";"       .";"    2050";"     270";"     165";"      38";""
"1972";"Drenthe (PV)";"    2685";"       3";"      37";"       2";"       .";"       6";"       .";"       .";"       9";"       .";"       4";"       2";"       .";"       .";"    2046";"     270";"     165";"      36";""
"1973";"Drenthe (PV)";"    2685";"       3";"      39";"       2";"       .";"       6";"       .";"       .";"       8";"       .";"       4";"       4";"       .";"       .";"    2042";"     270";"     165";"      37";""
"1974";"Drenthe (PV)";"    2684";"       3";"      40";"       2";"       .";"       6";"       .";"       .";"       7";"       .";"       5";"       4";"       .";"       .";"    2040";"     270";"     164";"      37";""
"1975";"Drenthe (PV)";"    2682";"       3";"      41";"       2";"       .";"       7";"       .";"       .";"       7";"       .";"       5";"       5";"       .";"       .";"    2033";"     272";"     162";"      37";""
"1976";"Drenthe (PV)";"    2678";"       3";"      42";"       2";"       .";"       7";"       .";"       .";"       7";"       .";"       5";"       5";"       .";"       .";"    2025";"     272";"     163";"      37";""
"1977";"Drenthe (PV)";"    2681";"       4";"      92";"       1";"      91";"      16";"       6";"      16";"       7";"       4";"       2";"      10";"      21";"       2";"    2002";"     255";"     126";"      26";""
"1978";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1979";"Drenthe (PV)";"    2681";"       4";"      92";"       1";"      95";"      18";"       6";"      13";"       8";"       7";"       3";"      10";"      21";"       2";"    1994";"     256";"     125";"      27";""
"1980";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1981";"Drenthe (PV)";"    2681";"       4";"      93";"       1";"      96";"      19";"       6";"      14";"       7";"       5";"       3";"      11";"      22";"       2";"    1990";"     256";"     125";"      27";""
"1982";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1983";"Drenthe (PV)";"    2681";"       3";"      93";"       1";"      98";"      18";"       6";"      14";"       6";"       5";"       3";"      11";"      22";"       2";"    1990";"     256";"     125";"      27";""
"1984";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1985";"Drenthe (PV)";"    2681";"       3";"      88";"       1";"      96";"      20";"       7";"      13";"       5";"       6";"       3";"      12";"      24";"       2";"    2000";"     264";"     112";"      25";""
"1986";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1987";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1988";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1989";"Drenthe (PV)";"    2680";"       3";"      86";"       2";"      98";"      22";"       6";"      13";"       4";"       5";"       3";"      12";"      25";"       2";"    1984";"     277";"     110";"      28";""
"1990";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1991";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1992";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1993";"Drenthe (PV)";"    2680";"       3";"      87";"       1";"     100";"      24";"       6";"      14";"       5";"       5";"       3";"      14";"      25";"       3";"    1976";"     281";"     104";"      29";""
"1994";"Drenthe (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Drenthe (PV)";"    2680";"       3";"      64";"       1";"      93";"      25";"       6";"       4";"       9";"       5";"       7";"      15";"      22";"       3";"    1968";"     318";"     103";"      34";""
"1997";"Drenthe (PV)";"    2681";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Drenthe (PV)";"    2680";"       3";"      64";"       1";"      97";"      28";"       7";"       4";"      13";"       5";"       8";"      15";"      22";"       4";"    1943";"     330";"     100";"      38";""
"2001";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Drenthe (PV)";"    2680";"       3";"      65";"       7";"      99";"      31";"       7";"       4";"      18";"       4";"       9";"      15";"      24";"       4";"    1928";"     325";"     106";"      39";""
"2004";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Drenthe (PV)";"    2680";"       3";"      65";"       1";"     101";"      34";"       7";"       4";"      18";"       4";"       8";"      17";"      24";"       4";"    1914";"     326";"     109";"      41";""
"2007";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Drenthe (PV)";"    2680";"       3";"      66";"       1";"     103";"      36";"       7";"       4";"      17";"       4";"       9";"      17";"      25";"       4";"    1909";"     326";"     109";"      41";""
"2009";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2010";"Drenthe (PV)";"    2680";"       3";"      67";"       1";"     104";"      37";"       7";"       4";"      18";"       4";"       9";"      17";"      25";"       4";"    1894";"     330";"     113";"      44";""
"2011";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2012";"Drenthe (PV)";"    2680";"       3";"      67";"       1";"     105";"      40";"       7";"       4";"      14";"       4";"       9";"      18";"      27";"       4";"    1883";"     328";"     121";"      46";""
"2013";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2014";"Drenthe (PV)";"    2680";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2015";"Drenthe (PV)";"    2680";"       3";"      67";"       1";"     107";"      41";"       7";"       5";"      10";"       4";"      10";"      19";"      28";"       3";"    1859";"     326";"     144";"      48";""
"1950";"Overijssel (PV)";"    3868";"      12";"      92";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"    2977";"     261";"     323";"      65";""
"1951";"Overijssel (PV)";"    3889";"      12";"     102";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2949";"     268";"     328";"      90";""
"1952";"Overijssel (PV)";"    3911";"      12";"     102";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       .";"       .";"    2957";"     272";"     318";"     110";""
"1953";"Overijssel (PV)";"    3932";"      12";"     104";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       3";"       .";"       .";"       .";"    2974";"     277";"     309";"     109";""
"1954";"Overijssel (PV)";"    3932";"      12";"     105";"       4";"       .";"       .";"       .";"       .";"       .";"       .";"       4";"       .";"       .";"       .";"    2972";"     282";"     302";"     108";""
"1955";"Overijssel (PV)";"    3932";"      11";"     105";"       4";"       .";"       .";"       .";"       .";"       0";"       .";"       4";"       .";"       .";"       .";"    2984";"     287";"     281";"     108";""
"1956";"Overijssel (PV)";"    3933";"      11";"     106";"       4";"       .";"       .";"       .";"       .";"       1";"       .";"       4";"       .";"       .";"       .";"    2978";"     297";"     272";"     111";""
"1957";"Overijssel (PV)";"    3933";"      11";"     105";"       4";"       .";"       .";"       .";"       .";"       1";"       .";"       4";"       .";"       .";"       .";"    2989";"     294";"     269";"     109";""
"1958";"Overijssel (PV)";"    3934";"       7";"      95";"       3";"       .";"       .";"       .";"       .";"       1";"       .";"       5";"       .";"       .";"       .";"    3023";"     340";"     234";"     105";""
"1959";"Overijssel (PV)";"    3934";"       7";"      97";"       3";"       .";"       .";"       .";"       .";"       2";"       .";"       5";"       .";"       .";"       .";"    3026";"     348";"     229";"      99";""
"1960";"Overijssel (PV)";"    3934";"       7";"      76";"       3";"       .";"       .";"       .";"       .";"       3";"       .";"       6";"       .";"       .";"       .";"    3038";"     356";"     206";"     121";""
"1961";"Overijssel (PV)";"    3934";"       7";"      73";"       3";"       .";"       .";"       .";"       .";"       3";"       .";"       5";"       .";"       .";"       .";"    3034";"     362";"     198";"     120";""
"1962";"Overijssel (PV)";"    3932";"       7";"      73";"       3";"       .";"       .";"       .";"       .";"       5";"       .";"       5";"       .";"       .";"       .";"    3030";"     361";"     197";"     120";""
"1963";"Overijssel (PV)";"    3933";"       7";"      74";"       3";"       .";"       .";"       .";"       .";"       7";"       .";"       5";"       .";"       .";"       .";"    3023";"     361";"     196";"     121";""
"1964";"Overijssel (PV)";"    3932";"       7";"      71";"       3";"       .";"       .";"       .";"       .";"       7";"       .";"       6";"       .";"       .";"       .";"    3022";"     361";"     195";"     121";""
"1965";"Overijssel (PV)";"    3935";"       7";"      47";"       3";"       .";"       .";"       .";"       .";"       7";"       .";"       6";"       .";"       .";"       .";"    3041";"     363";"     194";"     122";""
"1966";"Overijssel (PV)";"    3929";"       7";"      54";"       3";"       .";"       .";"       .";"       .";"      11";"       .";"       6";"       .";"       .";"       .";"    3042";"     369";"     167";"     125";""
"1967";"Overijssel (PV)";"    3931";"       7";"      56";"       3";"       .";"      16";"       .";"       .";"      12";"       .";"       4";"       .";"       .";"       .";"    3042";"     368";"     164";"     125";""
"1968";"Overijssel (PV)";"    3931";"       7";"      54";"       3";"       .";"      18";"       .";"       .";"      11";"       .";"       5";"       .";"       .";"       .";"    3036";"     367";"     164";"     124";""
"1969";"Overijssel (PV)";"    3931";"       7";"      56";"       3";"       .";"      18";"       .";"       .";"      11";"       .";"       5";"       .";"       .";"       .";"    3032";"     366";"     163";"     124";""
"1970";"Overijssel (PV)";"    3927";"       7";"      58";"       3";"       .";"      19";"       .";"       .";"      14";"       .";"       5";"       .";"       .";"       .";"    3028";"     366";"     161";"     121";""
"1971";"Overijssel (PV)";"    3927";"       7";"      60";"       3";"       .";"      19";"       .";"       .";"      14";"       .";"       5";"       .";"       .";"       .";"    3020";"     367";"     161";"     122";""
"1972";"Overijssel (PV)";"    3917";"       7";"      51";"       4";"       .";"      20";"       .";"       .";"      16";"       .";"       6";"       3";"       .";"       .";"    3009";"     366";"     160";"     122";""
"1973";"Overijssel (PV)";"    3926";"       7";"      70";"       4";"       .";"      21";"       .";"       .";"      15";"       .";"       6";"       8";"       .";"       .";"    2984";"     370";"     160";"     126";""
"1974";"Overijssel (PV)";"    3926";"       7";"      70";"       4";"       .";"      23";"       .";"       .";"      14";"       .";"       7";"       9";"       .";"       .";"    2981";"     369";"     159";"     126";""
"1975";"Overijssel (PV)";"    3927";"       7";"      71";"       4";"       .";"      24";"       .";"       .";"      13";"       .";"       7";"       9";"       .";"       .";"    2967";"     372";"     162";"     124";""
"1976";"Overijssel (PV)";"    3927";"       7";"      71";"       4";"       .";"      24";"       .";"       .";"      14";"       .";"       8";"      10";"       .";"       .";"    2962";"     371";"     162";"     124";""
"1977";"Overijssel (PV)";"    3932";"       9";"     118";"       4";"     140";"      40";"      10";"       3";"      16";"       6";"       8";"      17";"      24";"       1";"    2948";"     343";"     129";"     114";""
"1978";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1979";"Overijssel (PV)";"    3924";"       9";"     121";"       2";"     140";"      43";"       9";"       4";"      17";"       6";"       9";"      18";"      25";"       1";"    2935";"     344";"     128";"     114";""
"1980";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1981";"Overijssel (PV)";"    3926";"       9";"     121";"       2";"     146";"      45";"       9";"       3";"      16";"       7";"       9";"      19";"      27";"       1";"    2925";"     345";"     127";"     114";""
"1982";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1983";"Overijssel (PV)";"    3926";"       9";"     121";"       2";"     150";"      46";"      10";"       2";"      15";"       7";"      10";"      19";"      28";"       1";"    2915";"     345";"     130";"     114";""
"1984";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1985";"Overijssel (PV)";"    3925";"       9";"     123";"       2";"     152";"      48";"      10";"       2";"      14";"       7";"      10";"      20";"      29";"       1";"    2906";"     352";"     124";"     115";""
"1986";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1987";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1988";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1989";"Overijssel (PV)";"    3420";"       9";"     110";"       2";"     151";"      45";"       9";"       3";"      11";"       6";"      10";"      19";"      29";"       1";"    2487";"     327";"     120";"      83";""
"1990";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1991";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1992";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1993";"Overijssel (PV)";"    3420";"       9";"     107";"       1";"     152";"      49";"      10";"       4";"      12";"       6";"      10";"      20";"      27";"       1";"    2480";"     335";"     114";"      83";""
"1994";"Overijssel (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Overijssel (PV)";"    3420";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Overijssel (PV)";"    3420";"       9";"      91";"       1";"     151";"      54";"      11";"       2";"       9";"       8";"      14";"      22";"      25";"       1";"    2460";"     357";"     112";"      93";""
"1997";"Overijssel (PV)";"    3419";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Overijssel (PV)";"    3419";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Overijssel (PV)";"    3419";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Overijssel (PV)";"    3421";"       8";"      92";"       1";"     158";"      59";"      11";"       2";"      17";"       7";"      14";"      22";"      25";"       1";"    2435";"     360";"     112";"      94";""
"2001";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Overijssel (PV)";"    3421";"       8";"      94";"       1";"     159";"      64";"      11";"       2";"      19";"       8";"      17";"      23";"      26";"       1";"    2427";"     351";"     113";"      95";""
"2004";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Overijssel (PV)";"    3421";"       8";"      93";"       1";"     163";"      68";"      11";"       2";"      22";"       7";"      18";"      24";"      26";"       2";"    2413";"     349";"     115";"      96";""
"2007";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Overijssel (PV)";"    3421";"       8";"      95";"       1";"     166";"      72";"      11";"       2";"      21";"       7";"      18";"      25";"      27";"       2";"    2405";"     350";"     116";"      96";""
"2009";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2010";"Overijssel (PV)";"    3421";"       8";"      98";"       1";"     167";"      74";"      10";"       2";"      25";"       7";"      18";"      25";"      27";"       2";"    2398";"     349";"     112";"      98";""
"2011";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2012";"Overijssel (PV)";"    3421";"       8";"      97";"       1";"     170";"      76";"      11";"       2";"      28";"       7";"      18";"      25";"      28";"       2";"    2391";"     348";"     111";"      98";""
"2013";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2014";"Overijssel (PV)";"    3421";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2015";"Overijssel (PV)";"    3421";"       8";"      95";"       1";"     172";"      78";"      11";"       3";"      25";"       7";"      19";"      25";"      29";"       2";"    2377";"     345";"     121";"     102";""
"1950";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1951";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1952";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1953";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1954";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1955";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1956";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1957";"Flevoland (PV)";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"1958";"Flevoland (PV)";"     655";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       4";"       .";"     539";"     112";""
"1959";"Flevoland (PV)";"     517";"       .";"       1";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"      15";"       6";"     379";"     116";""
"1960";"Flevoland (PV)";"     657";"       .";"       3";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"     151";"       6";"     359";"     134";""
"1961";"Flevoland (PV)";"     655";"       .";"       4";"       .";"       .";"       .";"       .";"       .";"       0";"       .";"       .";"       .";"       .";"       .";"     200";"      10";"     320";"     118";""
"1962";"Flevoland (PV)";"     655";"       .";"       5";"       .";"       .";"       .";"       .";"       .";"       1";"       .";"       .";"       .";"       .";"       .";"     227";"      14";"     287";"     119";""
"1963";"Flevoland (PV)";"     655";"       .";"       7";"       .";"       .";"       .";"       .";"       .";"       6";"       .";"       0";"       .";"       .";"       .";"     234";"      17";"     270";"     119";""
"1964";"Flevoland (PV)";"     655";"       .";"       7";"       .";"       .";"       .";"       .";"       .";"       6";"       .";"       0";"       .";"       .";"       .";"     239";"      23";"     258";"     119";""
"1965";"Flevoland (PV)";"     655";"       .";"       7";"       .";"       .";"       .";"       .";"       .";"       2";"       .";"       2";"       .";"       .";"       .";"     303";"      28";"     191";"     119";""
"1966";"Flevoland (PV)";"     655";"       .";"       8";"       .";"       .";"       .";"       .";"       .";"       5";"       .";"       2";"       .";"       .";"       .";"     329";"      32";"     158";"     119";""
"1967";"Flevoland (PV)";"     652";"";"       8";"";"       .";"       1";"       .";"       .";"      12";"       .";"       0";"       .";"       .";"       .";"     368";"      33";"     104";"     119";""
"1968";"Flevoland (PV)";"    1082";"";"       9";"";"       .";"       1";"       .";"       .";"      42";"       .";"       1";"       .";"       .";"       .";"     387";"      39";"     468";"     128";""
"1969";"Flevoland (PV)";"    1081";"";"      10";"";"       .";"       0";"       .";"       .";"      39";"       .";"       1";"       .";"       .";"       .";"     413";"      44";"     448";"     117";""
"1970";"Flevoland (PV)";"    1082";"";"      10";"";"       .";"       1";"       .";"       .";"      33";"       .";"       1";"       .";"       .";"       .";"     427";"      54";"     432";"     115";""
